Municipio,Desaparecidos,Habitantes,Desaparecidos_1000,Mun_Caguan
SUCRE,10,9826,"1,017708121",No
SALAMINA,20,19733,"1,013530634",No
CHITA,8,7898,"1,012914662",No
PACHO,28,27672,"1,011853137",No
ASTREA,22,21812,"1,008619109",No
LA JAGUA DEL PILAR,4,3979,"1,005277708",No
PALESTINA,16,15956,"1,002757583",No
RESTREPO,19,18958,"1,002215424",No
GUATEQUE,11,11051,"0,995385033",No
ANSERMA,37,37335,"0,9910271863",No
CASTILLA LA NUEVA,16,16165,"0,9897927621",No
RIONEGRO,144,147484,"0,9763770985",No
LA ARGENTINA,13,13378,"0,9717446554",No
GUARNE,58,59985,"0,9669083938",No
CAJIBÍO,42,43527,"0,9649183266",No
COLÓN,8,8323,"0,9611918779",No
COPACABANA,81,84389,"0,9598407375",No
COELLO,8,8364,"0,956480153",No
ALBÁN,7,7377,"0,9488952149",No
PUERTO ARICA,1,1059,"0,9442870633",No
PONEDERA,25,26505,"0,9432182607",No
SAN CAYETANO,5,5339,"0,9365049635",No
FONSECA,43,46232,"0,9300917114",No
VILLETA,29,31238,"0,9283564889",No
BELALCÁZAR,10,10837,"0,9227646027",No
JAMUNDÍ,154,169280,"0,9097353497",No
MEDIO SAN JUAN,10,11001,"0,909008272",No
PUEBLOVIEJO,30,33011,"0,9087879798",No
ALTAMIRA,4,4439,"0,9011038522",No
GINEBRA,21,23340,"0,8997429306",No
ALPUJARRA,4,4481,"0,8926578889",No
VILLANUEVA,23,25876,"0,888854537",No
RÍO IRÓ,5,5682,"0,8799718409",No
SAN AGUSTÍN,30,34281,"0,875120329",No
PUENTE NACIONAL,13,15123,"0,8596178007",No
EL MOLINO,7,8178,"0,8559550012",No
ENCISO,3,3510,"0,8547008547",No
APULO,8,9381,"0,8527875493",No
NOCAIMA,6,7037,"0,8526360665",No
TIMBIQUÍ,23,27038,"0,8506546342",No
GONZÁLEZ,4,4731,"0,845487212",No
GIRALDO,5,5929,"0,8433125316",No
